season,round,event_name,circuit,country,date
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05
2020,2,Styrian Grand Prix,Spielberg,Austria,2020-07-12
2020,3,Hungarian Grand Prix,Budapest,Hungary,2020-07-19
2020,4,British Grand Prix,Silverstone,Great Britain,2020-08-02
2020,5,70th Anniversary Grand Prix,Silverstone,Great Britain,2020-08-09
2020,6,Spanish Grand Prix,Barcelona,Spain,2020-08-16
2020,7,Belgian Grand Prix,Spa-Francorchamps,Belgium,2020-08-30
2020,8,Italian Grand Prix,Monza,Italy,2020-09-06
2020,9,Tuscan Grand Prix,Mugello,Italy,2020-09-13
2020,10,Russian Grand Prix,Sochi,Russia,2020-09-27
2020,11,Eifel Grand Prix,Nürburgring,Germany,2020-10-11
2020,12,Portuguese Grand Prix,Portimão,Portugal,2020-10-25
2020,13,Emilia Romagna Grand Prix,Imola,Italy,2020-11-01
2020,14,Turkish Grand Prix,Istanbul,Turkey,2020-11-15
2020,15,Bahrain Grand Prix,Sakhir,Bahrain,2020-11-29
2020,16,Sakhir Grand Prix,Sakhir,Bahrain,2020-12-06
2020,17,Abu Dhabi Grand Prix,Yas Island,Abu Dhabi,2020-12-13
2021,1,Bahrain Grand Prix,Sakhir,Bahrain,2021-03-28
2021,2,Emilia Romagna Grand Prix,Imola,Italy,2021-04-18
2021,3,Portuguese Grand Prix,Portimão,Portugal,2021-05-02
2021,4,Spanish Grand Prix,Barcelona,Spain,2021-05-09
2021,5,Monaco Grand Prix,Monte Carlo,Monaco,2021-05-23
2021,6,Azerbaijan Grand Prix,Baku,Azerbaijan,2021-06-06
2021,7,French Grand Prix,Le Castellet,France,2021-06-20
2021,8,Styrian Grand Prix,Spielberg,Austria,2021-06-27
2021,9,Austrian Grand Prix,Spielberg,Austria,2021-07-04
2021,10,British Grand Prix,Silverstone,Great Britain,2021-07-18
2021,11,Hungarian Grand Prix,Budapest,Hungary,2021-08-01
2021,12,Belgian Grand Prix,Spa-Francorchamps,Belgium,2021-08-29
2021,13,Dutch Grand Prix,Zandvoort,Netherlands,2021-09-05
2021,14,Italian Grand Prix,Monza,Italy,2021-09-12
2021,15,Russian Grand Prix,Sochi,Russia,2021-09-26
2021,16,Turkish Grand Prix,Istanbul,Turkey,2021-10-10
2021,17,United States Grand Prix,Austin,United States,2021-10-24
2021,18,Mexico City Grand Prix,Mexico City,Mexico,2021-11-07
2021,19,São Paulo Grand Prix,São Paulo,Brazil,2021-11-14
2021,20,Qatar Grand Prix,Lusail,Qatar,2021-11-21
2021,21,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,2021-12-05
2021,22,Abu Dhabi Grand Prix,Yas Island,Abu Dhabi,2021-12-12
2022,1,Bahrain Grand Prix,Sakhir,Bahrain,2022-03-20
2022,2,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,2022-03-27
2022,3,Australian Grand Prix,Melbourne,Australia,2022-04-10
