season,round,circuit_id,date,precipitation_mm,temp_max_c,temp_min_c,wind_max_kmh,precipitation_hours,rainfall
2021,22,yas_marina,2021-12-12,0.0,25.9,20.8,18.6,0.0,False
2022,1,bahrain,2022-03-20,0.0,28.5,14.6,26.0,0.0,False
2022,2,jeddah,2022-03-27,0.0,31.4,19.8,26.1,0.0,False
2022,3,albert_park,2022-04-10,0.0,26.5,16.6,27.7,0.0,False
2022,4,imola,2022-04-24,3.3,15.5,8.7,34.9,10.0,True
2022,5,miami,2022-05-08,2.0,33.1,21.5,13.2,5.0,True
2022,6,catalunya,2022-05-22,0.0,34.8,18.3,23.6,0.0,False
2022,7,monaco,2022-05-29,3.4,25.1,19.0,16.9,9.0,True
2022,8,baku,2022-06-12,0.0,26.7,18.5,21.1,0.0,False
2022,9,villeneuve,2022-06-19,0.0,20.9,11.2,26.2,0.0,False
2022,10,silverstone,2022-07-03,0.9,19.0,8.9,16.6,5.0,True
2022,11,red_bull_ring,2022-07-10,3.9,20.4,12.2,17.3,11.0,True
2022,12,ricard,2022-07-24,0.0,33.2,20.5,14.7,0.0,False
2022,13,hungaroring,2022-07-31,7.9,21.0,16.4,29.5,14.0,True
2022,14,spa,2022-08-28,0.2,20.8,13.4,16.4,2.0,False
2022,15,zandvoort,2022-09-04,1.8,23.9,15.6,15.8,4.0,True
2022,16,monza,2022-09-11,0.0,25.8,15.1,10.4,0.0,False
2022,17,marina_bay,2022-10-02,17.0,28.5,24.7,12.8,18.0,True
2022,18,suzuka,2022-10-09,18.1,19.9,15.1,19.9,11.0,True
2022,19,americas,2022-10-23,0.6,30.2,20.4,34.4,1.0,True
2022,20,rodriguez,2022-10-30,0.9,24.0,10.6,22.4,3.0,True
2022,21,interlagos,2022-11-13,0.4,28.0,15.1,24.2,1.0,False
2022,22,yas_marina,2022-11-20,0.0,30.4,25.6,27.3,0.0,False
2023,1,bahrain,2023-03-05,0.0,32.2,17.4,17.3,0.0,False
2023,2,jeddah,2023-03-19,0.0,30.6,18.9,27.9,0.0,False
2023,3,albert_park,2023-04-02,0.0,17.8,6.6,17.9,0.0,False
2023,4,baku,2023-04-30,0.2,26.3,16.1,25.0,2.0,False
2023,5,miami,2023-05-07,1.9,26.9,21.3,25.6,11.0,True
2023,6,monaco,2023-05-28,6.9,24.4,18.0,11.4,9.0,True
2023,7,catalunya,2023-06-04,10.8,22.5,14.6,12.0,8.0,True
2023,8,villeneuve,2023-06-18,0.3,19.6,12.6,22.1,3.0,False
2023,9,red_bull_ring,2023-07-02,0.3,24.0,11.5,11.6,3.0,False
2023,10,silverstone,2023-07-09,0.3,22.0,13.9,22.7,2.0,False
2023,11,hungaroring,2023-07-23,0.0,29.0,15.9,16.4,0.0,False
2023,12,spa,2023-07-30,2.5,17.8,13.2,29.1,11.0,True
2023,13,zandvoort,2023-08-27,3.4,17.4,14.5,29.7,12.0,True
2023,14,monza,2023-09-03,0.0,27.9,17.0,10.7,0.0,False
2023,15,marina_bay,2023-09-17,2.7,30.6,26.5,15.4,9.0,True
2023,16,suzuka,2023-09-24,0.0,26.7,19.0,21.4,0.0,False
2023,17,losail,2023-10-08,0.0,40.5,27.0,26.0,0.0,False
2023,18,americas,2023-10-22,0.2,31.2,20.9,21.8,2.0,False
2023,19,rodriguez,2023-10-29,0.0,25.2,12.6,18.2,0.0,False
2023,20,interlagos,2023-11-05,0.3,21.1,14.4,21.2,3.0,False
2023,21,vegas,2023-11-19,0.0,17.8,10.1,51.1,0.0,False
2023,22,yas_marina,2023-11-26,0.0,29.1,20.8,21.2,0.0,False
2024,1,bahrain,2024-03-02,0.0,21.2,12.7,14.8,0.0,False
2024,2,jeddah,2024-03-09,0.0,29.2,18.8,28.6,0.0,False
2024,3,albert_park,2024-03-24,0.0,21.4,10.6,20.4,0.0,False
2024,4,suzuka,2024-04-07,0.0,21.2,10.9,12.3,0.0,False
2024,5,shanghai,2024-04-21,4.6,20.2,13.1,11.3,8.0,True
2024,6,miami,2024-05-05,0.3,28.8,22.1,21.1,3.0,False
2024,7,imola,2024-05-19,0.2,23.7,12.2,10.4,2.0,False
2024,8,monaco,2024-05-26,0.0,20.8,14.4,8.5,0.0,False
2024,9,villeneuve,2024-06-09,4.4,19.2,14.4,25.6,11.0,True
2024,10,catalunya,2024-06-23,2.8,22.1,18.0,17.5,11.0,True
